iata,icao,name,city,state,country,latitude,longitude,elevation_ft,timezone
AJF,OESK,Al-Jawf Domestic Airport,Al-Jawf,Al-Jawf,SA,29.785101,40.099998,2261,Asia/Riyadh
AJI,LTCO,Agri Airport,Agri,Agri,TR,39.654541,43.025978,5462,Europe/Istanbul
AJL,VELP,Lengpui Airport,Aizawl,Mizoram,IN,23.840599,92.619698,1398,Asia/Kolkata
AJN,FMCV,Ouani Airport,Ouani,Anjouan,KM,-12.131700,44.430302,62,Indian/Comoro
AJR,ESNX,Arvidsjaur Airport,Arvidsjaur,Norrbotten,SE,65.590302,19.281900,1245,Europe/Stockholm
AJU,SBAR,Santa Maria Airport,Aracaju,Sergipe,BR,-10.984000,-37.070301,23,America/Maceio
AKA,ZLAK,Ankang Airport,Ankang,Shaanxi,CN,32.708099,108.931000,0,Asia/Shanghai
AKB,PAAK,Atka Airport,Atka,Alaska,US,52.220299,-174.205994,57,America/Adak
AKI,PFAK,Akiak Airport,Akiak,Alaska,US,60.902901,-161.231003,30,America/Anchorage
AKJ,RJEC,Asahikawa Airport,Asahikawa,Hokkaido,JP,43.670799,142.447006,721,Asia/Tokyo
AKK,PAKH,Akhiok Airport,Akhiok,Alaska,US,56.938702,-154.182999,44,America/Anchorage
AKL,NZAA,Auckland International Airport,Auckland,Auckland,NZ,-37.008099,174.792007,23,Pacific/Auckland
AKN,PAKN,King Salmon Airport,King Salmon,Alaska,US,58.676800,-156.649002,73,America/Anchorage
AKP,PAKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,Alaska,US,68.133598,-151.742996,2102,America/Anchorage
AKR,DNAK,Akure Airport,Akure,Ondo,NG,7.246740,5.301010,1100,Africa/Lagos
AKS,AGGA,Auki Airport,Auki,,SB,-8.702570,160.682007,5,Pacific/Guadalcanal
AKU,ZWAK,Aksu Airport,Aksu,Xinjiang,CN,41.262501,80.291702,0,Asia/Shanghai
AKV,CYKO,Akulivik Airport,Akulivik,Quebec,CA,60.818600,-78.148598,75,America/Iqaluit
AKX,UATT,Aktobe Airport,Aktyubinsk,Aqtobe,KZ,50.245800,57.206699,738,Asia/Aqtobe
AKY,VYSW,Sittwe Airport,Sittwe,Rakhine,MM,20.132700,92.872597,27,Asia/Yangon
ALA,UAAA,Almaty Airport,Almaty,Almaty-Oblysy,KZ,43.352100,77.040497,2234,Asia/Almaty
ALB,KALB,Albany International Airport,Albany,New-York,US,42.748299,-73.801697,285,America/New_York
ALC,LEAL,Alicante International Airport,Alicante,Valencia,ES,38.282200,-0.558156,142,Europe/Madrid
ALF,ENAT,Alta Airport,Alta,Finnmark,NO,69.976097,23.371700,9,Europe/Oslo
ALG,DAAG,Houari Boumediene Airport,Algiers,Algiers,DZ,36.691002,3.215410,82,Africa/Algiers
ALH,YABA,Albany Airport,Albany,Western-Australia,AU,-34.943298,117.808998,233,Australia/Perth
ALI,KALI,Alice International Airport,Alice,Texas,US,27.740900,-98.026901,178,America/Chicago
ALO,KALO,Waterloo Regional Airport,Waterloo,Iowa,US,42.557098,-92.400299,873,America/Chicago
ALP,OSAP,Aleppo International Airport,Aleppo,Aleppo,SY,36.180698,37.224400,1276,Asia/Damascus
ALQ,SSLT,Alegrete Novo Airport,Alegrete,Rio-Grande-do-Sul,BR,-29.812700,-55.893398,459,America/Sao_Paulo
ALS,KALS,San Luis Valley Regional Bergman Field,Alamosa,Colorado,US,37.434898,-105.866997,7539,America/Denver
ALW,KALW,Walla Walla Regional Airport,Walla Walla,Washington,US,46.094898,-118.288002,1194,America/Los_Angeles
AMA,KAMA,Rick Husband Amarillo International Airport,Amarillo,Texas,US,35.219398,-101.706001,3607,America/Chicago
AMD,VAAH,Sardar Vallabhbhai Patel International Airport,Ahmedabad,Gujarat,IN,23.077200,72.634697,189,Asia/Kolkata
AMH,HAAM,Arba Minch Airport,,SNNPR,ET,6.039390,37.590500,3901,Africa/Addis_Ababa
AMM,OJAI,Queen Alia International Airport,Amman,Amman,JO,31.722601,35.993198,2395,Asia/Amman
AMQ,WAPP,Pattimura Airport Ambon,Ambon,Maluku,ID,-3.710260,128.089005,33,Asia/Jayapura
AMS,EHAM,Amsterdam Airport Schiphol,Amsterdam,North-Holland,NL,52.308601,4.763890,-11,Europe/Amsterdam
ANC,PANC,Ted Stevens Anchorage International Airport,Anchorage,Alaska,US,61.174400,-149.996002,152,America/Anchorage
ANF,SCFA,Cerro Moreno Airport,Antofagasta,Antofagasta,CL,-23.444500,-70.445099,455,America/Santiago
ANI,PANI,Aniak Airport,Aniak,Alaska,US,61.581600,-159.542999,88,America/Anchorage
ANR,EBAW,Antwerp International Airport (Deurne),Antwerp,Flanders,BE,51.189400,4.460280,39,Europe/Brussels
ANU,TAPA,V.C. Bird International Airport,St. George,Saint-George,AG,17.136700,-61.792702,62,America/Antigua
ANV,PANV,Anvik Airport,Anvik,Alaska,US,62.646702,-160.190994,291,America/Anchorage
ANX,ENAN,Andoya Airport,Andenes,Nordland,NO,69.292503,16.144199,43,Europe/Oslo
AOE,LTBY,Anadolu University Airport,Eskisehir,Eskişehir,TR,39.809898,30.519400,2588,Europe/Istanbul
AOG,ZYAS,Anshan Air Base,Anshan,Liaoning,CN,41.105301,122.853996,0,Asia/Shanghai
AOI,LIPY,Ancona / Falconara Airport,Ancona,The-Marches,IT,43.616299,13.362300,49,Europe/Rome
AOJ,RJSA,Aomori Airport,Aomori,Aomori,JP,40.734699,140.690994,664,Asia/Tokyo
AOK,LGKP,Karpathos Airport,Karpathos Island,South-Aegean,GR,35.421398,27.146000,66,Europe/Athens
AOO,KAOO,Altoona Blair County Airport,Altoona,Pennsylvania,US,40.296398,-78.320000,1503,America/New_York
AOR,WMKA,Sultan Abdul Halim Airport,Alor Satar,,MY,6.189670,100.398003,15,Asia/Kuala_Lumpur
APK,NTGD,Apataki Airport,Apataki,Iles-Tuamotu-Gambier,PF,-15.573600,-146.414993,8,Pacific/Tahiti
APL,FQNP,Nampula Airport,Nampula,Nampula,MZ,-15.105600,39.281799,1444,Africa/Maputo
APN,KAPN,Alpena County Regional Airport,Alpena,Michigan,US,45.078098,-83.560303,690,America/Detroit
APO,SKLC,Antonio Roldan Betancourt Airport,Carepa,Antioquia,CO,7.811960,-76.716400,46,America/Bogota
APW,NSFA,Faleolo International Airport,Apia,A'ana,WS,-13.830000,-172.007996,58,Pacific/Apia
AQG,ZSAQ,Anqing Airport,Anqing,Anhui,CN,30.582199,117.050003,0,Asia/Shanghai
AQI,OEPA,Hafr Al Batin Airport,Qaisumah,Eastern-Province,SA,28.335199,46.125099,1174,Asia/Riyadh
AQJ,OJAQ,Aqaba King Hussein International Airport,Aqaba,Aqaba,JO,29.611601,35.018101,175,Asia/Amman
AQP,SPQU,Rodriguez Ballon International Airport,Arequipa,Arequipa,PE,-16.341101,-71.583099,8405,America/Lima
ARC,PARC,Arctic Village Airport,Arctic Village,Alaska,US,68.114700,-145.578995,2092,America/Anchorage
ARD,WATM,Mali Airport,Alor Island,East-Nusa-Tenggara,ID,-8.132340,124.597000,10,Asia/Makassar
ARH,ULAA,Talagi Airport,Archangelsk,Arkhangelskaya,RU,64.600304,40.716702,62,Europe/Moscow
ARI,SCAR,Chacalluta Airport,Arica,Arica-y-Parinacota,CL,-18.348499,-70.338699,167,America/Lima
ARK,HTAR,Arusha Airport,Arusha,Arusha,TZ,-3.367790,36.633301,4550,Africa/Dar_es_Salaam
ARM,YARM,Armidale Airport,Armidale,New-South-Wales,AU,-30.528099,151.617004,3556,Australia/Sydney
ARN,ESSA,Stockholm-Arlanda Airport,Stockholm,Stockholm,SE,59.651901,17.918600,137,Europe/Stockholm
ART,KART,Watertown International Airport,Watertown,New-York,US,43.991901,-76.021698,325,America/New_York
ARU,SBAU,Aracatuba Airport,Aracatuba,Sao-Paulo,BR,-21.141300,-50.424702,1361,America/Sao_Paulo
ASB,UTAA,Ashgabat Airport,Ashgabat,Ashgabat,TM,37.986801,58.361000,692,Asia/Ashgabat
ASE,KASE,Aspen-Pitkin Co/Sardy Field,Aspen,Colorado,US,39.223202,-106.869003,7820,America/Denver
ASF,URWA,Astrakhan Airport,Astrakhan,Astrakhan,RU,46.283298,48.006302,-65,Europe/Astrakhan
ASJ,RJKA,Amami Airport,Amami,Kagoshima,JP,28.430599,129.712997,27,Asia/Tokyo
ASM,HHAS,Asmara International Airport,Asmara,Maekel,ER,15.291900,38.910702,7661,Africa/Asmara
ASO,HASO,Asosa Airport,Asosa,Binshangul-Gumuz,ET,10.018500,34.586300,5100,Africa/Addis_Ababa
ASP,YBAS,Alice Springs Airport,Alice Springs,Northern-Territory,AU,-23.806700,133.901993,1789,Australia/Darwin
ASR,LTAU,Kayseri Erkilet Airport,Kayseri,Kayseri,TR,38.770401,35.495399,3463,Europe/Istanbul
ASU,SGAS,Silvio Pettirossi International Airport,Asuncion,Central,PY,-25.240000,-57.520000,292,America/Asuncion
ASV,HKAM,Amboseli Airport,Amboseli National Park,Kajiado,KE,-2.645050,37.253101,3755,Africa/Nairobi
ASW,HESN,Aswan International Airport,Aswan,Aswan,EG,23.964399,32.820000,662,Africa/Cairo
ATA,SPHZ,Comandante FAP German Arias Graziani Airport,Anta,Ancash,PE,-9.347440,-77.598396,9097,America/Lima
ATD,AGAT,Uru Harbour Airport,Atoifi,,SB,-8.873330,161.011002,0,Pacific/Guadalcanal
ATH,LGAV,Eleftherios Venizelos International Airport,Athens,Attica,GR,37.936401,23.944500,308,Europe/Athens
ATK,PATQ,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,Alaska,US,70.467300,-157.436005,96,America/Anchorage
ATL,KATL,Hartsfield Jackson Atlanta International Airport,Atlanta,Georgia,US,33.636700,-84.428101,1026,America/New_York
ATM,SBHT,Altamira Airport,Altamira,Para,BR,-3.253910,-52.254002,369,America/Santarem
ATQ,VIAR,Sri Guru Ram Dass Jee International Airport Amritsar,Amritsar,Punjab,IN,31.709600,74.797302,756,Asia/Kolkata
ATW,KATW,Appleton International Airport,Appleton,Wisconsin,US,44.258099,-88.519096,918,America/Chicago
ATY,KATY,Watertown Regional Airport,Watertown,South-Dakota,US,44.914001,-97.154701,1749,America/Chicago
ATZ,HEAT,Assiut International Airport,Assiut,Asyut,EG,27.046499,31.011999,772,Africa/Cairo
AUA,TNCA,Queen Beatrix International Airport,Oranjestad,,AW,12.501400,-70.015198,60,America/Aruba
AUC,SKUC,Santiago Perez Airport,Arauca,Arauca,CO,7.068880,-70.736900,420,America/Bogota
AUG,KAUG,Augusta State Airport,Augusta,Maine,US,44.320599,-69.797302,352,America/New_York
AUH,OMAA,Abu Dhabi International Airport,Abu Dhabi,Abu-Dhabi,AE,24.433001,54.651100,88,Asia/Dubai
AUK,PAUK,Alakanuk Airport,Alakanuk,Alaska,US,62.680042,-164.659927,10,America/Nome
AUQ,NTMN,Hiva Oa-Atuona Airport,,Iles-Marquises,PF,-9.768790,-139.011002,1481,Pacific/Marquesas
AUR,LFLW,Aurillac Airport,Aurillac,Auvergne-Rhone-Alpes,FR,44.891399,2.421940,2096,Europe/Paris
AUS,KAUS,Austin Bergstrom International Airport,Austin,Texas,US,30.194500,-97.669899,542,America/Chicago
AUU,YAUR,Aurukun Airport,,Queensland,AU,-13.353900,141.720993,31,Australia/Brisbane
AUX,SWGN,Araguaina Airport,Araguaina,Tocantins,BR,-7.227870,-48.240501,771,America/Araguaina
AUY,NVVA,Anelghowhat Airport,Anelghowhat,Tafea,VU,-20.249201,169.770996,7,Pacific/Efate
AVA,ZUAS,Anshun Huangguoshu Airport,Anshun,Beijing,CN,26.260556,105.873333,4812,Asia/Shanghai
AVL,KAVL,Asheville Regional Airport,Asheville,North-Carolina,US,35.436199,-82.541801,2165,America/New_York
AVP,KAVP,Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton,Pennsylvania,US,41.338501,-75.723396,962,America/New_York
AVV,YMAV,Avalon Airport,Melbourne,Victoria,AU,-38.039398,144.468994,35,Australia/Melbourne
AWA,HALA,Awassa Airport,Awassa,SNNPR,ET,7.067000,38.500000,5450,Africa/Addis_Ababa
AWD,NVVB,Aniwa Airport,Aniwa,Tafea,VU,-19.240000,169.604996,69,Pacific/Efate
AWZ,OIAW,Ahwaz Airport,Ahwaz,Khuzestan,IR,31.337400,48.762001,66,Asia/Tehran
AXA,TQPF,Wallblake Airport,The Valley,,AI,18.204800,-63.055099,127,America/Anguilla
AXD,LGAL,Dimokritos Airport,Alexandroupolis,East-Macedonia-and-Thrace,GR,40.855900,25.956301,24,Europe/Athens
AXJ,RJDA,Amakusa Airport,,Kumamoto,JP,32.482498,130.158997,340,Asia/Tokyo
AXM,SKAR,El Eden Airport,Armenia,Quindio,CO,4.452780,-75.766400,3990,America/Bogota
AXP,MYAP,Spring Point Airport,Spring Point,Acklins,BS,22.441799,-73.970901,11,America/Nassau
AXR,NTGU,Arutua Airport,,Iles-Tuamotu-Gambier,PF,-15.248300,-146.617004,9,Pacific/Tahiti
AXT,RJSK,Akita Airport,Akita,Akita,JP,39.615601,140.218994,313,Asia/Tokyo
AYP,SPHO,Coronel FAP Alfredo Mendivil Duarte Airport,Ayacucho,Ayacucho,PE,-13.154800,-74.204399,8917,America/Lima
AYQ,YAYE,Ayers Rock Connellan Airport,Ayers Rock,Northern-Territory,AU,-25.186100,130.975998,1626,Australia/Darwin
AYT,LTAI,Antalya International Airport,Antalya,Antalya,TR,36.898701,30.800501,177,Europe/Istanbul
AZA,KIWA,Phoenix-Mesa-Gateway Airport,Phoenix,Arizona,US,33.307800,-111.654999,1382,America/Phoenix
AZD,OIYY,Shahid Sadooghi Airport,Yazd,Yazd,IR,31.904900,54.276501,4054,Asia/Tehran
AZI,OMAD,Al Bateen Executive Airport,,Abu-Dhabi,AE,24.428301,54.458099,16,Asia/Dubai
AZO,KAZO,Kalamazoo Battle Creek International Airport,Kalamazoo,Michigan,US,42.234901,-85.552101,874,America/Detroit
AZR,DAUA,Touat Cheikh Sidi Mohamed Belkebir Airport,,Adrar,DZ,27.837601,-0.186414,919,Africa/Algiers
AZS,MDCY,Samana El Catey International Airport,Samana,Maria-Trinidad-Sanchez,DO,19.267000,-69.741997,30,America/Santo_Domingo
BAG,RPUB,Loakan Airport,Baguio City,Cordillera,PH,16.375099,120.620003,4251,Asia/Manila
BAH,OBBI,Bahrain International Airport,Manama,Muharraq,BH,26.270800,50.633598,6,Asia/Bahrain
BAL,LTCJ,Batman Airport,Batman,Batman,TR,37.929001,41.116600,1822,Europe/Istanbul
BAQ,SKBQ,Ernesto Cortissoz International Airport,Barranquilla,Atlantico,CO,10.889600,-74.780800,98,America/Bogota
BAS,AGGE,Ballalae Airport,Ballalae,,SB,-6.990745,155.886656,5,Pacific/Guadalcanal
BAU,SBBU,Bauru Airport,Bauru,Sao-Paulo,BR,-22.344999,-49.053799,2025,America/Sao_Paulo
BAV,ZBOW,Baotou Airport,Baotou,Inner-Mongolia,CN,40.560001,109.997002,3321,Asia/Shanghai
BAX,UNBB,Barnaul Airport,Barnaul,Altai-Krai,RU,53.363800,83.538498,837,Asia/Barnaul
BAY,LRBM,Tautii Magheraus Airport,Baia Mare,Maramureş,RO,47.658401,23.469999,605,Europe/Bucharest
BAZ,SWBC,Barcelos Airport,Barcelos,Amazonas,BR,-0.981292,-62.919601,112,America/Manaus
BBA,SCBA,Balmaceda Airport,Balmaceda,Aisen,CL,-45.916100,-71.689499,1722,America/Santiago
BBI,VEBS,Biju Patnaik Airport,Bhubaneswar,Odisha,IN,20.244400,85.817802,138,Asia/Kolkata
BBK,FBKE,Kasane Airport,Kasane,North-West,BW,-17.832899,25.162399,3289,Africa/Gaborone
BBN,WBGZ,Bario Airport,Bario,Sarawak,MY,3.733890,115.478996,3350,Asia/Kuching
BBU,LRBS,Baneasa International Airport,Bucharest,Bucureşti,RO,44.503201,26.102100,297,Europe/Bucharest
BCD,RPVB,Bacolod-Silay City International Airport,Bacolod City,Negros-Island-Region,PH,10.776400,123.014999,0,Asia/Manila
BCI,YBAR,Barcaldine Airport,Barcaldine,Queensland,AU,-23.565300,145.307007,878,Australia/Brisbane
BCM,LRBC,Bacau Airport,Bacau,Bacau,RO,46.521900,26.910299,607,Europe/Bucharest
BCN,LEBL,Barcelona International Airport,Barcelona,Catalonia,ES,41.297100,2.078460,12,Europe/Madrid
BCO,HABC,Baco Airport,Baco,,ET,5.782870,36.562000,0,Africa/Addis_Ababa
BCT,KBCT,Boca Raton Airport,Boca Raton,Florida,US,26.378500,-80.107697,13,America/New_York
BDA,TXKF,L.F. Wade International International Airport,Hamilton,Saint-Georgeʼs,BM,32.363998,-64.678703,12,Atlantic/Bermuda
BDB,YBUD,Bundaberg Airport,Bundaberg,Queensland,AU,-24.903900,152.319000,107,Australia/Brisbane
BDD,YBAU,Badu Island Airport,,Queensland,AU,-10.150000,142.173400,14,Australia/Brisbane
BDJ,WAOO,Syamsudin Noor Airport,Banjarmasin-Borneo Island,South-Kalimantan,ID,-3.442360,114.763000,66,Asia/Makassar
BDL,KBDL,Bradley International Airport,Hartford,Connecticut,US,41.938900,-72.683197,173,America/New_York
BDO,WICC,Husein Sastranegara International Airport,Bandung-Java Island,West-Java,ID,-6.900630,107.575996,2436,Asia/Jakarta
BDP,VNCG,Bhadrapur Airport,Bhadrapur,Eastern-Region,NP,26.570801,88.079597,300,Asia/Kathmandu
BDQ,VABO,Vadodara Airport,Vadodara,Gujarat,IN,22.336201,73.226303,129,Asia/Kolkata
BDR,KBDR,Igor I Sikorsky Memorial Airport,Bridgeport,Connecticut,US,41.163502,-73.126198,9,America/New_York
BDS,LIBR,Brindisi / Casale Airport,Brindisi,Apulia,IT,40.657600,17.947001,47,Europe/Rome
BDU,ENDU,Bardufoss Airport,Malselv,Troms,NO,69.055801,18.540400,252,Europe/Oslo
BEB,EGPL,Benbecula Airport,Balivanich,Scotland,GB,57.481098,-7.362780,19,Europe/London
BEG,LYBE,Belgrade Nikola Tesla Airport,Belgrad,,RS,44.818401,20.309099,335,Europe/Belgrade
BEJ,WALK,Barau(Kalimaru) Airport,Tanjung Redep-Borneo Island,East-Kalimantan,ID,2.155500,117.431999,59,Asia/Makassar
BEK,VIBY,Bareilly Air Force Station,,Uttar-Pradesh,IN,28.422100,79.450798,580,Asia/Kolkata
BEL,SBBE,Val de Cans/Julio Cezar Ribeiro International Airport,Belem,Para,BR,-1.379250,-48.476299,54,America/Belem
BEM,GMMD,Beni Mellal Airport,,Beni-Mellal-Khenifra,MA,32.400002,-6.333330,1670,Africa/Casablanca
BEM,FEFL,Bossembele Airport,Bossembele,Ombella-M'Poko,CF,5.267000,17.632999,2231,Africa/Bangui
BEN,HLLB,Benina International Airport,Benghazi,Banghazi,LY,32.096802,20.269501,433,Africa/Tripoli
BER,EDDB,Berlin Brandenburg Airport,Berlin,,DE,52.366667,13.503333,156,Europe/Berlin
BES,LFRB,Brest Bretagne Airport,Brest/Guipavas,Brittany,FR,48.447899,-4.418540,325,Europe/Paris
